,HenryHub,,,,,,,,,,,,,,,,,,,,,,,,
13-10-2014,3.87,,,,,,,,,,,,,,,,,,,,,,,,
14-10-2014,3.91,,,,,,,,,,,,,,,,,,,,,,,,
15-10-2014,3.81,,,,,,,,,,,,,,,,,,,,,,,,
16-10-2014,3.8,,,,,,,,,,,,,,,,,,,,,,,,
17-10-2014,3.73,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2014,3.69,,,,,,,,,,,,,,,,,,,,,,,,
21-10-2014,3.62,,,,,,,,,,,,,,,,,,,,,,,,
22-10-2014,3.69,,,,,,,,,,,,,,,,,,,,,,,,
23-10-2014,3.6,,,,,,,,,,,,,,,,,,,,,,,,
24-10-2014,3.53,,,,,,,,,,,,,,,,,,,,,,,,
27-10-2014,3.56,,,,,,,,,,,,,,,,,,,,,,,,
28-10-2014,3.53,,,,,,,,,,,,,,,,,,,,,,,,
29-10-2014,3.6,,,,,,,,,,,,,,,,,,,,,,,,
30-10-2014,3.76,,,,,,,,,,,,,,,,,,,,,,,,
31-10-2014,3.82,,,,,,,,,,,,,,,,,,,,,,,,
03-11-2014,3.82,,,,,,,,,,,,,,,,,,,,,,,,
04-11-2014,3.67,,,,,,,,,,,,,,,,,,,,,,,,
05-11-2014,3.83,,,,,,,,,,,,,,,,,,,,,,,,
06-11-2014,3.92,,,,,,,,,,,,,,,,,,,,,,,,
07-11-2014,3.92,,,,,,,,,,,,,,,,,,,,,,,,
10-11-2014,4.18,,,,,,,,,,,,,,,,,,,,,,,,
11-11-2014,4.18,,,,,,,,,,,,,,,,,,,,,,,,
12-11-2014,4.2,,,,,,,,,,,,,,,,,,,,,,,,
13-11-2014,4.2,,,,,,,,,,,,,,,,,,,,,,,,
14-11-2014,4.05,,,,,,,,,,,,,,,,,,,,,,,,
17-11-2014,4.26,,,,,,,,,,,,,,,,,,,,,,,,
18-11-2014,4.33,,,,,,,,,,,,,,,,,,,,,,,,
19-11-2014,4.41,,,,,,,,,,,,,,,,,,,,,,,,
20-11-2014,4.41,,,,,,,,,,,,,,,,,,,,,,,,
21-11-2014,4.32,,,,,,,,,,,,,,,,,,,,,,,,
24-11-2014,4.09,,,,,,,,,,,,,,,,,,,,,,,,
25-11-2014,4.09,,,,,,,,,,,,,,,,,,,,,,,,
26-11-2014,4.15,,,,,,,,,,,,,,,,,,,,,,,,
