"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","AL","RFISB","8673","6653","7237","21489","29429","35096","41601","48763","44462","38938","23096","13563","21249","7997","5298","551","2768","2634","3305","1452","1997","284","1009","3236","5130","2345","3275","2354","3856","3714","8406","5006","11670","1645","2493","4694","4814","5117","6497","1993","4445","6695","4859","1916","2196","3459"
"2015F","AL","RFRFB","1456","854","3279","1060","1211","1458","1500","1376","1506","3190","715","1862","1679","828","601","49","725","913","1092","697","797","248","1297","1575","1555","822","1157","1417","0","17","5","0","91","78","214","3","1","3","3","18","27","3","12","0","0","0"
"2015F","AL","SFCCB","","","","","","","","","","","6","3","11","1","7","2","0","0","2","2","36","35","18","41","7","0","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","SFINB","","","","","","","","","","","34","16","63","6","35","9","2","1","11","11","217","230","119","289","50","0","13","15","2","3","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","SFRCB","","","","","","","","","","","11","5","20","2","13","3","1","1","4","3","68","68","35","82","14","0","4","4","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2015F","AL","SOCCB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","9","25","26","25"
"2015F","AL","SOICB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2015F","AL","SORCB","","","","","","","","","","","","","","","","","","","","135","138","148","148","148","153","150","146","138","134","127","113","97","82","68","54","53","62","63","64","62","65","67","69","73","74","75"
"2015F","AL","TEPFB","365837","377471","412024","435466","445513","423774","449687","488377","509610","533417","589463","583174","547846","545339","584063","582941","572412","591552","612923","581013","582075","583776","600868","625571","649721","647159","661553","666232","709902","724793","739486","679180","703458","698029","743155","730086","753920","757656","732672","682574","717931","689162","667633","650849","662412","628741"
"2015F","AL","TERFB","14823","15950","20319","18503","18853","25844","24157","28055","30165","32331","31833","34724","34921","28053","31415","27797","32086","35898","37924","37122","36374","38178","42048","45898","49233","49829","47932","48384","50262","48726","45560","41162","41560","42152","40615","45350","44872","43468","42460","41329","45237","47193","50864","20681","19925","21984"
